iter	Passed	Remaining
0	146	146665
1	158	79114
2	165	55114
3	172	43037
4	180	35822
5	186	30937
6	193	27495
7	201	24944
8	208	22906
9	215	21286
10	221	19947
11	228	18843
12	235	17904
13	242	17087
14	249	16387
15	256	15779
16	263	15254
17	271	14811
18	278	14388
19	285	14006
20	292	13655
21	299	13331
22	307	13041
23	314	12775
24	321	12523
25	327	12285
26	335	12075
27	342	11876
28	348	11684
29	356	11510
30	363	11357
31	370	11200
32	377	11057
33	384	10923
34	391	10796
35	398	10672
36	405	10556
37	412	10449
38	419	10342
39	426	10242
40	433	10145
41	440	10052
42	447	9966
43	454	9884
44	461	9803
45	469	9728
46	474	9630
47	482	9561
48	489	9491
49	496	9428
50	503	9362
51	510	9304
52	517	9249
53	524	9191
54	531	9135
55	538	9078
56	545	9026
57	552	8970
58	559	8922
59	566	8874
60	573	8830
61	580	8784
62	587	8742
63	595	8705
64	602	8663
65	609	8622
66	616	8581
67	623	8539
68	629	8499
69	637	8464
70	644	8428
71	651	8395
72	658	8360
73	665	8326
74	672	8290
75	679	8257
76	686	8226
77	693	8196
78	700	8162
79	707	8132
80	714	8104
81	721	8075
82	728	8047
83	735	8022
84	742	7995
85	749	7966
86	756	7939
87	763	7908
88	769	7877
89	776	7849
90	782	7820
91	789	7795
92	796	7768
93	803	7748
94	810	7722
95	817	7696
96	824	7672
97	830	7646
98	837	7623
99	844	7599
100	851	7577
101	858	7554
102	864	7529
103	871	7507
104	878	7486
105	885	7464
106	892	7446
107	899	7427
108	906	7410
109	913	7393
110	920	7374
111	927	7355
112	934	7338
113	941	7320
114	948	7302
115	955	7285
116	962	7265
117	969	7247
118	976	7228
119	983	7208
120	989	7191
121	996	7173
122	1003	7154
123	1010	7135
124	1016	7116
125	1023	7100
126	1030	7082
127	1036	7064
128	1043	7046
129	1050	7029
130	1057	7011
131	1063	6993
132	1070	6975
133	1076	6959
134	1083	6942
135	1121	7123
136	1183	7456
137	1189	7432
138	1196	7411
139	1203	7391
140	1210	7373
141	1223	7394
142	1235	7406
143	1242	7386
144	1249	7366
145	1256	7347
146	1263	7329
147	1270	7311
148	1277	7295
149	1284	7278
150	1291	7260
151	1298	7243
152	1305	7226
153	1312	7209
154	1319	7192
155	1326	7174
156	1332	7157
157	1339	7139
158	1346	7123
159	1354	7108
160	1360	7091
161	1367	7075
162	1374	7059
163	1381	7042
164	1388	7027
165	1395	7013
166	1402	6996
167	1409	6981
168	1416	6965
169	1423	6948
170	1430	6933
171	1436	6917
172	1444	6904
173	1451	6888
174	1457	6872
175	1465	6859
176	1472	6844
177	1478	6827
178	1485	6814
179	1492	6799
180	1499	6785
181	1506	6772
182	1513	6758
183	1521	6747
184	1528	6733
185	1535	6720
186	1542	6705
187	1549	6692
188	1556	6678
189	1562	6663
190	1570	6650
191	1576	6636
192	1584	6627
193	1591	6613
194	1598	6600
195	1605	6586
196	1612	6573
197	1619	6560
198	1626	6546
199	1633	6534
200	1640	6522
201	1647	6509
202	1654	6495
203	1661	6484
204	1668	6470
205	1675	6458
206	1682	6446
207	1690	6435
208	1696	6422
209	1704	6410
210	1711	6398
211	1717	6385
212	1724	6372
213	1731	6359
214	1738	6347
215	1745	6335
216	1752	6324
217	1759	6312
218	1766	6299
219	1773	6287
220	1780	6274
221	1786	6262
222	1792	6247
223	1799	6235
224	1806	6223
225	1903	6519
226	1910	6505
227	1917	6492
228	1926	6485
229	1933	6473
230	1942	6465
231	1951	6461
232	1958	6447
233	1965	6433
234	1971	6418
235	1979	6408
236	1986	6395
237	1993	6382
238	2000	6369
239	2007	6356
240	2014	6343
241	2021	6330
242	2027	6316
243	2034	6303
244	2041	6289
245	2047	6275
246	2053	6261
247	2060	6247
248	2067	6234
249	2073	6221
250	2080	6209
251	2087	6195
252	2094	6182
253	2100	6169
254	2107	6156
255	2113	6143
256	2120	6129
257	2126	6116
258	2133	6103
259	2140	6091
260	2146	6078
261	2153	6065
262	2159	6052
263	2166	6039
264	2173	6027
265	2180	6015
266	2186	6003
267	2192	5989
268	2199	5977
269	2206	5965
270	2212	5952
271	2219	5940
272	2225	5927
273	2232	5914
274	2239	5902
275	2245	5890
276	2251	5877
277	2258	5865
278	2264	5853
279	2271	5841
280	2278	5829
281	2285	5818
282	2291	5805
283	2298	5794
284	2304	5782
285	2311	5770
286	2317	5758
287	2324	5747
288	2331	5735
289	2338	5724
290	2344	5712
291	2350	5700
292	2357	5688
293	2363	5676
294	2370	5665
295	2376	5653
296	2383	5640
297	2389	5629
298	2396	5617
299	2402	5606
300	2409	5595
301	2415	5583
302	2422	5571
303	2428	5560
304	2435	5548
305	2441	5537
306	2447	5525
307	2454	5514
308	2461	5504
309	2468	5494
310	2475	5484
311	2483	5475
312	2490	5465
313	2497	5455
314	2503	5444
315	2510	5434
316	2517	5424
